product_id,category_id,cpc,clicks,views
6288767857890040299,7234842626579207420,1.0999999632755684,0.0,26.0
7511865592050261319,3751288961258999757,1.7999998626303444,0.0,156.0
124988842461858786,5924358085291389806,1.6399996427528003,2.0,44.0
1943562212212540244,7234842626579207420,1.0999996194276516,0.0,
4896302356121240191,7234842626579207420,1.0999987098488406,0.0,
1067762062849714419,8847485355484130425,1.639998254871153,5.0,120.0
5054781576529716516,7234842626579207420,1.0999979029817177,0.0,
9081793091528551090,8757232218924067765,1.699997697538757,0.0,
6720608310976529092,1923544693465519030,1.6599970579580705,0.0,21.0
8661966909908175139,1923544693465519030,1.6599952503959665,0.0,59.0
8194047841357723749,5547517019048776244,1.6999947152361863,0.0,24.0
103566316809694402,7234842626579207420,1.099994272180365,0.0,
4223357548487537593,5165268297756540484,1.6399929659058956,0.0,59.0
1052090486343974429,7234842626579207420,1.0999924933809953,0.0,
2996064130715260921,7016191804580997334,1.8999920285669956,2.0,176.0
5339185792423648745,5165268297756540484,1.6399917397313883,0.0,48.0
2957678023012670386,7234842626579207420,1.0999881276280135,0.0,
3985573984442459734,6224415035075099342,1.8999880734268402,999.0,17510.0
8501604915075903244,7234842626579207420,1.0999879670852308,0.0,
223397327032829842,3751288961258999757,1.7999869691261965,0.0,34.0
742403512313425852,3751288961258999757,1.7999846412667078,0.0,144.0
2359065689513405672,7234842626579207420,1.0999845663259062,0.0,
1859891560279517084,3692024707650725577,1.6399836471124778,0.0,135.0
5514003921556785159,8757232218924067765,1.6999835624034256,36.0,1736.0
6199710320377160003,7234842626579207420,1.0999831903257362,0.0,
5296633425048245427,1923544693465519030,1.6599831476340854,3.0,87.0
1918685367205618673,7234842626579207420,1.0999811601662692,0.0,
7213590676114218682,3692024707650725577,1.6399807396720267,0.0,
5399309861747243592,3692024707650725577,1.6399805927711477,0.0,37.0
1836388759100360370,8757232218924067765,1.6999801378275485,0.0,25.0
409883299374941170,1923544693465519030,1.6599781191385774,0.0,91.0
2843924418514996384,5547517019048776244,1.6999775847731604,53.0,2771.0
5297404194355203280,5237182937361963093,1.6399770170924497,8.0,731.0
1659161545015876629,1111307707891106543,1.63997627378959,0.0,
7015670382745680963,706610424568502112,2.4999756353364426,0.0,
8712222260672384884,7234842626579207420,1.0999747528837878,0.0,
1006375874550864049,8757232218924067765,1.6999740669890155,0.0,
